epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.20931368000581488;0.20931368000581488;0.033769577279120194;0.033769577279120194
1;0.1266710615463443;0.1266710615463443;0.026022670974933756;0.026022670974933756
2;0.11386877514199605;0.11386877514199605;0.023943704982794002;0.023943704982794002
3;0.10111993988657149;0.10111993988657149;0.026855150428828477;0.026855150428828477
4;0.09225094323462413;0.09225094323462413;0.019952120826703265;0.019952120826703265
5;0.08734970450640744;0.08734970450640744;0.014619869437897145;0.014619869437897145
6;0.08139401322381512;0.08139401322381512;0.01943628977482882;0.01943628977482882
7;0.08142134840545774;0.08142134840545774;0.018789685905803637;0.018789685905803637
8;0.07472407215289252;0.07472407215289252;0.02230812740399838;0.02230812740399838
9;0.07209616443906089;0.07209616443906089;0.017145934296761055;0.017145934296761055
10;0.07056249116406697;0.07056249116406697;0.019310905821458977;0.019310905821458977
11;0.0692846895913082;0.0692846895913082;0.02327207612463042;0.02327207612463042
12;0.06570874533383952;0.06570874533383952;0.020382486693136363;0.020382486693136363
13;0.06282235331967852;0.06282235331967852;0.017135738850127438;0.017135738850127438
14;0.06407994902047495;0.06407994902047495;0.02160749205161615;0.02160749205161615
15;0.0626600392771891;0.0626600392771891;0.015603345807762672;0.015603345807762672
16;0.06131358775706691;0.06131358775706691;0.015315911665082296;0.015315911665082296
17;0.06163864573642599;0.06163864573642599;0.020688953384614454;0.020688953384614454
18;0.06027495016760577;0.06027495016760577;0.02644222897002029;0.02644222897002029
19;0.06019581065770512;0.06019581065770512;0.015845210751240655;0.015845210751240655
20;0.06041298254355337;0.06041298254355337;0.015191742575609183;0.015191742575609183
21;0.05808989561148507;0.05808989561148507;0.018329714725704147;0.018329714725704147
22;0.057925783045852684;0.057925783045852684;0.01626406856898269;0.01626406856898269
23;0.05999707035284617;0.05999707035284617;0.014958772672100674;0.014958772672100674
24;0.05779347484859441;0.05779347484859441;0.022293784239660143;0.022293784239660143
25;0.058289222899207904;0.058289222899207904;0.016448908262455642;0.016448908262455642
26;0.055740313040957834;0.055740313040957834;0.021042057406597196;0.021042057406597196
27;0.05630147027727123;0.05630147027727123;0.018388062763881673;0.018388062763881673
28;0.05688473487250314;0.05688473487250314;0.02050558565876649;0.02050558565876649
29;0.05592083232195501;0.05592083232195501;0.02111206085612858;0.02111206085612858
30;0.05377771314513405;0.05377771314513405;0.01618216904808628;0.01618216904808628
31;0.05426312774946083;0.05426312774946083;0.020580663527117262;0.020580663527117262
